"Id","Region","River Name","Section","Class","Class (decimal)","Length","Gradient","Time","Put in","Take out","Body"
"https://rivers.org.nz/nz/bay-of-plenty/kaituna/okere-falls","Bay of Plenty","Kaituna","Okere Falls","III-IV","3.5","1.1km","36m/km","30-60min","control gates by the Kaituna River Bridge on SH33","last drop above Trout Pool Falls (don't miss it!)","<p>A long time classic in the Central North Island the Kaituna is famous for its waterfalls, park "
"https://rivers.org.nz/nz/bay-of-plenty/kaituna/smokey-falls","Bay of Plenty","Kaituna","Smokey Falls","III-IV+ (V)","3.725","24km","15m/km","5-6 hours","At end of Gnarly Gorge section","Maungarangi Road bridge","<p>Includes rapids Number 1, Number 2, Number 3, Smokey Falls, Happy Ending.</p><p>The last gorge below 'Smokey Falls' has been accessible for a number of years from the Ash farm on Maungarangi Road. this is a class II-III paddle out to the flat water.</p>"
"https://rivers.org.nz/nz/west-coast/kakapotahi/upper-kakapotahi","West Coast","K","Upper K","IV+-V","4.6","1.5km","10m/km","4-8 hours","Top gorge","Kakapotahi Road Bridge on SH6","<p>The spring floods of 2001 had much to answer for in the Kakapotahi. A large chunk of rock fell out of the wall into the tunnel rapid in the upper Kakapotahi and rendered it unrunnable. The river continued to be paddled by running right at the tunnel and portaging the choked off drop to below the tunnel. Who knows when the river will change again and be - well, all good?The beautiful upper Kakapotahi is a fantastic kayak run, one of those places kayaks were just made for. It has seven drops, all of which are difficult to scout and have some consequences for blowing the line. Finding someone with prior experience is a good idea, especially if the river is pushing the upper end of the flow limit. About twelve cumecs is optimal and it requires rain to get to this level. The two middle drops are the crux. Run Postman"
"https://rivers.org.nz/nz/west-coast/kakapotahi/mid-gorge-to-sh6","West Coast","K","Mid Gorge to SH6","IV (IV+)","4.02","9km","10m/km","4-8 hours","Mid Gorge","Kakapotahi Road Bridge on SH6","<p>The lower Kakapotahi has proven itself as a lasting run for intermediates and experts alike. Best with a good fresh of water but it can be paddled at most levels. After the class IV descent to the river there are some good class II rapids to warm up on before the river sidles into an innocuous looking gorge (aren"
"https://rivers.org.nz/nz/west-coast/karamea/venus-creek-to-gauge","West Coast","Karamea","Venus Creek to Gauge","III+ (IV)","3.3","52km","6.5m/km","2-3 days","Venus Creek","When the river opens onto farmland","<p>The Karamea is magic. Located in the heart of Kahurangi National Park, the huge surrounding valleys, limestone walls and enormous earthquake slips hint of powerful forces at work in the landscape, conjuring an aura hard to beat anywhere. The whitewater is fun, but don"
"https://rivers.org.nz/nz/west-coast/karangarua/upper-karangarua","West Coast","Karangarua","Upper Karangarua","V","5","","","","","",""
"https://rivers.org.nz/nz/otago/kawarau/dogleg","Otago","Kawarau","Dogleg","III+","3.25","7.5km","4m/km","1-3 hours","Rafters","Dog Leg camping area, Rafters Road","<p>Fun surfing, enders, splats, pivots, wave wheels and eddy line cartwheels at a variety of places, in a variety of flows on one of the biggest rivers in New Zealand. Summer flows may get as low as 100 cumecs, spring and flood flows may easily reach 600-700 cumecs. Whatever the flow there always seems to be something to do.</p><p>After the put in the gorge closes in around you and an ominous roar heralds your arrival at the top of Smith's Falls. Find a wave, or if your life insurance is up-to-date catch a ride in the <em>big</em> hole on the right side. Beware of plummeting bungy jumpers off the second of the Twin Bridges. Violence may ensue if you try to get out on their platform unless it's a dire emergency - exit here at your own peril.</p><p>The best surfing on Do Little Do Nothing is at about 165 cumecs, on the 3rd wave back where you can cross over to river right or recycle behind the rock on river left. The front wave is good at flows >300 but hard in short boats. A long stretch of canyon with excellent eddy lines leads into the final and crux rapid, Dog Leg. Out of control surfing in the first part of Dog Leg is not to be missed-but often is as the waves are fast and difficult to catch. Head left around the island and look for waves and a ledge hole on the left. The take out is on the right just beyond here and getting out here is a good idea as Nevis Bluff lies just a few kilometres downstream and there are no more take outs.</p><p>Camping at the take out is lovely, and there are some premium spots among the trees. At this stage it is free so let's look after it. We can keep it that way by cleaning up after ourselves and using the toilets provided. If you plan to stay a while and use an open fire please bring your own firewood. After two decades of use people have pruned, cut and savaged the resident trees to a seriously depleted state. New wineries have been sprouting all around the area so make sure you pay a visit or three.</p><p>To get to the put in: drive on SH6 between Queenstown and Cromwell. About 4km east of the Arrow River bridge is a gravel turning area with a road leading down to a carpark. A track leads to the river. Rafters clip their rafts onto a steep "
"https://rivers.org.nz/nz/otago/kawarau/nevis-bluff","Otago","Kawarau","Nevis Bluff","VI-","5.75","1km","25m/km","60 seconds (to the b","At the top of the rapid","Victoria Bridge on SH6","<p>This run is stupendous!! As a sure sign of the times and the speed of change in this sport Nevis used to be the pinnacle of NZ whitewater but has become a regular run for Queenstown locals and visiting hard people. It still continues to change and it is difficult to say whether it has become easier or not - it's still <em>big</em> and it's still impressive. Have fun and be safe.</p><p>Nevis Bluff came into existence when the Kawarau river carved its way around a particularly tough piece of bedrock. As people moved through the area early in the twentieth century the road was established and the bluff had to be dealt with. Blasting and road cutting saw huge amounts of rock tossed into the river creating the rapids we know and love as Nevis Bluff.</p><p>The rapids have a chequered history: in 1980 a young paddler from Nelson, Chris Moody, attempted the rapids in an old fibreglass kayak. This attempt might have been successful had his trusty old boat not broken up around him. He apparently swam the rapids and finished up with the cockpit coaming hanging like a hula hoop around his waist.<br />In the 1981 South Island Recreational River Survey, Graham Egarr noted: ""the rapids are unnavigable and exceedingly dangerous"". Then in 1983, US kayaking guru Rob Lessor made an attempt. Having seen the rapid and heard the rumours, he was dressed in two life jackets as he pushed into the current. He did, however, put in below the first drop, thus eliminating the first two moves. The rest of his run was successful.</p><p>In July 1984 the gates at the Kawarau Falls bridge were closed for an assessment of the recreational, visual, and environmental impacts of hydroelectric development involving lowering the Kawarau's flow. The flow was reported to be 40 cumecs (lower than any recorded natural flow). Greg Bell and Gordon Raynor paddled the whole rapid and Tony Marcinowski put in after the first drops. It is interesting to note that these paddlers, talented as they were, had chosen to prepare for the run in the fashion popular at the time which was probably attributable to their success:</p><p>	""Probably a kind of sixth sense telling me I was in a strange location bade me regain consciousness. A primeval survival instinct prevented me from yet opening my eyes. I was too frightened to move lest I disturbed the timpanist in my brain. My mouth felt like a small creature of the night had used it first as a latrine then as a mausoleum. Slowly, I opened my eyes; a big white thing stared down at me; I'd seen one before, but not from this angle. Over a bit further I spied a shower cabinet and some toothbrushes. Terrific - I had spent the night in the bathroom. Slowly, I arose and made my way to the lounge. I extricated my watch from a cup of cold tea - it was still early. The next thing I heard sounded very much like a bellowing hippo ""C'mon-let's go paddling""....."" - NZ Canoe, Rafting magazine No.31, 1984</p><p>"
"https://rivers.org.nz/nz/otago/kawarau/roaring-meg","Otago","Kawarau","Roaring Meg","III","3","5km","5m/km","1-3 hours","Carpark 800m upstream of the Roaring Meg Power Station","The secret roadside area 5.2 km along the road","<p>If boils and whirlies make your heart go pitter patter then get your teeth into this one. A fun run at any level with good surfing at regular intervals and locals have a regular Tuesday evening descent (6pm) throughout the summer months if you need to meet people or find a girlfriend/boyfriend.</p><p>At flows upto 200 cumecs there is a user friendly playhole at the put in. After the slalom site the whirlpools spiral down the gorge through a number of unnamed rapids. The only one of note is halfway down the run - a large hydraulic named Man Eater. I have seen proof, however, that this hydraulic is non gender specific. Around 170 cumecs it can only be run hard right. Between 170-250 it is <em>huge</em> crashing wave and can be surfed if you have what it takes. From here down enjoy the scenery and the endless seams to bury your tail in.</p><p>Take some time to reflect that this slackening water which now runs into a lake once flowed on to the famous Sargood's Weir. Sargood's Weir was one of the biggest, best rapids in the country. There were not many solid class V <em>big</em> rapids (200-500 cumecs) in the world. We had one of them. It exuded power, technicality and lack of emotion. Paradoxically it demanded of its suitors awe, fear, but most of all respect. It remained unpaddled until 1980 when Mick Hopkinson, then on holiday from the UK, paddling a fibreglass slalom boat successfully ran the rapids. Rob Lessor from the USA claimed the second descent in 1983. Then in 1984 Mick Hopkinson with partner in crime, Dirk Passchier, returned again. Dirk claimed the first 'Kiwi' descent of Sargood's. Through the late 1980s it became 'the rapid' for any aspiring hardperson and saw a number of descents. The intensity of use increased when the plans were published which showed that the lake from the Clyde Dam was going to flood the area to immediately above Sargood's Weir. People were keen to paddle the rapid before it died. When it finally drowned a slow and lingering death in 1992, Mick, who had paddled the rapid eighteen times, mourned its passing like a lost friend - indeed it was. May this murder of an international resource never be allowed to happen again.</p><p>To get to the put in: find the Roaring Meg Power Station on SH6. the put in is 800m towards Queenstown down a gravel road which descends a short distance to a large gravel carpark. A track leads to a gap in the gorge walls and the short clamber down to the river.</p><p>To get to the take out: from the power station drive about 4.5km down SH6 to a gravel road on the right cutting back down to a gravel parking area. There are some grey road marker posts numbered along this side of the road. The road is just after the 39 marker. If it is your first time on the run go down to the river so you can identify the exit point when you get there.<br />Class III+: >350 cumecs</p>"
"https://rivers.org.nz/nz/otago/kawarau/citro%C3%ABn","Otago","Kawarau","Citro","IV","4","3km","10m/km","1 hour","Gravel road, 2km east of Victoria Bridge.","3km down the road at another gravel track to the river.","<p>Now the scene of much hooting and hollering as aspiring hardpeople cut their teeth on their first class IV+ big water, the Citro"
"https://rivers.org.nz/nz/otago/kawarau/sargoods-weir","Otago","Kawarau","Sargood's Weir","V","5","","","","","","<p>There were not many solid Class V BIG rapids (200-500 cumecs) in the world.  We had one of them.  It exuded power, technicality and lack of emotion. Paradoxically it demanded of its suitors awe, fear, but most of all, respect. It remained unpaddled until 1980 when Mick Hopkinson, then on holiday from the UK, paddling a fibreglass slalom boat successfully ran the rapids.  Rob Lessor from the USA claimed the second descent in 1983. Then in 1984, with partner in crime Dirk Passchier, returned again. Dirk claimed the first 'Kiwi' descent of Sargood's.  Throughout the late 1980's it became 'the rapid' for any aspiring hardperson and saw a number of decents. The intensity of use increased when the plans were published which showed that the lake froim the Clyde Dam was going to flood the area to immediately above Sargood's Weir. People were keen to paddle the rapid before it died. When it finally drowned a slow and lingering death in 1992, Mick, who had paddled the rapid eighteen times, mourned its passing like a lost friend - indeed it was.</p><p>May this murder of such an international resource never be allowed to happen again.</p>"
"https://rivers.org.nz/nz/otago/kawarau/kawarau-falls","Otago","Kawarau","Kawarau Falls","I-II","1.5","","","","","","From lake, under road bridge, to ?. Watch out for weirs beneath bridge at Kawarau Falls."
"https://rivers.org.nz/nz/northland/kerikeri/kerikeri","Northland","Kerikeri","Kerikeri","I","1","","","","","","<p>RUS 1112</p>"
"https://rivers.org.nz/nz/taranaki/kiri/kiri-river","Taranaki","Kiri","Kiri River","IV+","4.25","","","","Carrington Rd","Kirihau Bridge",""
"https://rivers.org.nz/nz/west-coast/kokatahi/crawford-junction-to-bridge","West Coast","Kokatahi","Crawford Junction to bridge","IV-V (VI-)","4.55","13km","2m/km","6-8 hours","Crawford Junction","Bridge at the pick-up point","<p>Since 1996, when Bruce Barnes and I did the first descent and both nearly died in Carnage Gorge, this river has kicked more guru ass than the spotted guru ass-kicker from planet Kick Ass. Hence its reputation as a tough run. <strong>BUT</strong> - in the manner of changing nature, debris movement in the Kokatahi seems to have mellowed it a lot since its heyday! That probably means only one thing "
"https://rivers.org.nz/nz/west-coast/landsborough/kea-flat-to-clarke-bluff","West Coast","Landsborough","Kea Flat to Clarke Bluff","IV (V)","4.2","35km","8m/km","Usually2days","Via helicopter to Kea Flat.","Clarke Bluff","<p>For kayakers, the Landsborough is possibly New Zealand's most scenic and most wild river. It flows from north to south along the Main Divide, linking Mount Cook and Westland National Parks with Mt Aspiring National Park. Seen from the river, which for the most part runs through classic tussock and beech flats, dense silver beech forest blankets rugged gullies and ridges as far as the snow line.  Beyond, impressive ice cliffs and snow fields overspread numerous snow-capped peaks.<br />Flanked by mountains rising thousands of feet above the valley, the whitewater is challenging enough, given the Landsborough's remote and wild nature. At medium or low flows, most of the trip is Class III or easier, with a handful of more difficult rapids, all portageable.<br />The boundary of the Hooker-Landsborough Wilderness Area runs from McKerrow Creek, along the true right bank of the Landsborough, then up to the Solution range opposite Barron Ck at the beginning of Toe Toe Flat.  From Zora Creek the 'What The F**k Are We Doing Here' Gorge contains about six waterfall-type drops, all named by the first raft trip.  From Hinds Flat down, several Class III and IV rapids exist.<br />With access to the upper river restricted by the Hooker-Landsborough Wilderness Area, a good approach is to chopper from Clarke Bluff (G37 230864) and put down at Kea Flat, overnighting at Fraser Hut. From Kea flat it's Class II or III, with occasional surf spots and many straightforward chutes past boulder banks.  Fraser Hut is barely maintained, so bivvy bags or tents are recommended. Be careful about camping in the wide open fields around Fraser Hut - the locals regard it as a landing strip for hunting parties...<br />Most of the whitewater action is within the Upper Gates Gorge.  Things get interesting with Hunt's Hole, a Class IV double-drop with a river-wide hole.  This is followed by a long gentle left-hand curve with huge schist boulders at the bottom (The Squeeze, Class IV)  which can get very challenging in high flow.  The crux at most flows is Hellfire, Class V, a left turn with a series of rock sieves and a huge boulder midstream about 3/4 down.  A couple of grade III rapids remain, including a hard right turn called Surprise Corner, before the river eases to Harper Flat and out to the Clarke.  From the Clarke confluence near Strutt Bluff, it's about 45 minutes of flat paddling through braids to the Haast and SH6.<br />The amount of water dumped on this part of New Zealand is legendary.  In flood, the Landsborough becomes monstrous and epics have occurred in the past. Getting in and out of the Landsborough valley by anything other than a helicopter is a major exercise, so parties should be well equipped and experienced.  A favourable forecast is an absolute pre-requisite, and packing a mountain radio is a sensible precaution.  The regular high flows modify the riverbed, so always scout the major rapids.<br />A useful campsite before the trip is at Pleasant Flat, about 5km south from Clarke Bluff on SH6.  To avoid the flat paddle at the end groups with 4WD or rentals may be able to negotiate a track from the bridge over the Haast river to near Strutt Bluff.  The nearest pub is at Haast, where you can also visit the superb DoC visitor's centre.</p>"
"https://rivers.org.nz/nz/canterbury/leader","Canterbury","Leader","?","I","1","","","","","",""
"https://rivers.org.nz/nz/tasman/lee/cement-works-to-lee-valley-road","Tasman","Lee","Cement Works to Lee Valley Road","III","3","","10m/km","","Cement Works","Lee Valley Road","<p>The Lee River is the Wairoa's main tributary and is also worth a run at higher flows, especially in the upper reaches. Access to the Lee is from the River Terrace Rd, turning left at the road turnoff by the Wairoa/Lee confluence to follow the Lee Valley Rd along the river's true left bank. The Lee is an easier version of the Wairoa, with similar ease of access and scouting from the road. Upper limit is at the Cement Works, where there is an access track to the river about 100m downriver from the locked gate at the end of the public road.</p>"
"https://rivers.org.nz/nz/otago/lee-stream/lee-stream","Otago","Lee Stream","Lee Stream","IV-IV+","4.1","9.5km","30m/km","4 - 7 hours.","Bridge","Outram Glen","<em>Urban Country Crossover</em> best describes Lee Stream.  Only 40 minutes drive from Dunedin to the put-in, Lee Stream offers a complete adventure close to town. Horizon lines, steep rapids, hard portages, all in a tight gorge with fantastic native bush around. At the upper end of the flow it gets very pushy and powerful.<p>Lee Stream was first paddled in the early 1990's by Dunedin locals Keith Riley et al, and then went untouched for several years before being rediscovered in 2006 by Craig Adams et al.</p><p>From the put-in the river looks fairly innocuous, but soon picks up. The first portage is just a few hundred metres downstream; portage on the left around a tree-choked rapid. The gradient increases through 'Head High Tackle', a sump which is unpaddleable at lower flows.  Scout on the left, and if necessary portage high on the left. The gradient maintains its steepness throughout, climaxing in Pencil Sharpener and Pencil Dick Falls, a tricky lead in to a 4m waterfall.</p><p>The last rapid is Slide Into Depravity. At low flows the first slide can be run, but avoid it at higher flows as the rest of the rapid is in the Make My Day class. Portage around the Depravity on the right. From there it's a short paddle to the Taieri confluence and down to Outram Glen.</p><p>To get to the take-out, drive North through Mosgiel on Gordon Rd. Continue towards Outram for about 9km to the bridge over the Taieri River.  Immediately after the bridge turn right onto a gravel road at Outram Glen. Turn left onto a smaller gravel road and drive for about 10km to the trestle bridge over Lee Stream.  Put in here.</p><p>To get to the take out, drive back to the carpark at Outram Glen.</p>"
"https://rivers.org.nz/nz/otago/leith-stream/leith","Otago","Leith Stream","Leith","III (IV+)","3.22","3km","","1/2 hour","?","?","Watch out for clocktower weir..."
"https://rivers.org.nz/nz/canterbury/lewis","Canterbury","Lewis","?","III","3","","","","","",""
"https://rivers.org.nz/nz/otago/lochy/lochy","Otago","Lochy","'The Lochy'","IV","4","12km","20m/km","4 hours","River flats, 1.5km down stream from Billy Creek, just above footbridge","State Highway 6 ","<p>The Lochy has some picturesque beech forest scenery, and nice class IV boating with a couple of portages around sumps. The water is cold and clear. The run takes about four hours from the river flats to the river mouth at the farm station and finishes with a 3.5km paddle across Lake Wakatipu to the car (shuttled there before going to the airport).</p>"
"https://rivers.org.nz/nz/west-coast/macfarlane/blackfoot-creek-to-landsborough","West Coast","MacFarlane","Blackfoot Creek to Landsborough","V","5","","200m/km","","","","<p>First descent Jan(?) 2012 took 15 1/2hrs over two days, by Andy Moffatt, Ari Walker, Brian Urmson, Kerry Hoglund, Paul Siratovich, Tom Botterill.</p><p><a href=""https://www.youtube.com/watch?v=z7DiC54bsbg"" title=""https://www.youtube.com/watch?v=z7DiC54bsbg"">https://www.youtube.com/watch?v=z7DiC54bsbg</a></p><p><a href=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-43.966656,169.447205&z=14&pin=1&lbl=Macfarlane%20River"" title=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-43.966656,169.447205&z=14&pin=1&lbl=Macfarlane%20River"">http://www.topomap.co.nz/NZTopoMap?v=2&ll=-43.966656,169.447205&z=14&pin...</a></p>"
"https://rivers.org.nz/nz/west-coast/mahitahi/mahitahi","West Coast","Mahitahi","Mahitahi","IV+ (V)","4.3","","","","","","<p>Additional data has been suppressed as part of the South Westland Exploratory Paddling initiative.<br />Catchment: 877000<br />Egarr_Comments: 3<br />Egarr_Code: 4.3<br />Egarr_Vol: 46<br />Egarr_Page: SI<br />Egarr_Rec: 40<br />Egarr_Scen: 2<br />RUS_Code: 2264</p>"
"https://rivers.org.nz/nz/tasman/maitai/dam-to-waahi-takaaro-ford","Tasman","Maitai","Dam to Waahi Takaaro ford","II","2","","","","","","<p>Egarr SI, p23.</p>"
"https://rivers.org.nz/nz/otago/makarora/makarora","Otago","Makarora","Makarora","I","1","","","","","","<p>RUS 2411, class unknown</p>"
"https://rivers.org.nz/nz/wanganui/makatote/sh4-to-upper-manganui-valley-bridge","Wanganui","M","SH4 to Upper Manganui Valley bridge","III-IV","3.5","14.5km","18m/km","3-4 hours","below Makatote Road bridge","Upper Manganui Valley bridge","<p>The imposing viaduct spanning the Makatote just south of National Park township distracts all but the most obsessive kayakers peering into the river valley. The small river trickling below SH49 does nothing to hint at the hidden charms downstream. Don"
"https://rivers.org.nz/nz/west-coast/makawhio/jumbo-creek-to-sh6","West Coast","M","Jumbo Creek to SH6","IV-IV+","4.1","15km","30m/km","3-5 hours","Near confluence of Jumbo Creek & Makawhio (aka Jacobs River).","SH bridge at Jacobs River.","<p>The Makawhio is another classic West Coast helicopter river, more moderate than many and long overlooked. In early 1999, Erik Bradshaw, Jon Hunt, Katherine Macey and Tony Ward-Holmes had eyeballed the river but had to wait a month for the rain to stop before they could get in there. The steep walls and stunning waterfall off the side of Mt Herman provide the big-country scenery and set the scene for the day.</p><p> The trip starts in a beautiful gorge at the confluence with Jumbo Creek. Smooth rock and elegant water-worn formations provide a surreal background. The first big rapid and portage, Stop Sign, is completely shut down by the rock of the same name. When this rock eventually gets moved there will be an awesome series of class V drops. You can put in before the end of Stop Sign, but beware of the last small drop with its slow but sure re-circulation - it is perfectly shaped and offers no easy exit, as Katherine found out.<br />Good fun class III+ to IV+ water then follows until a lake. Everything is to scout and/or walk if need be. The lake is reminiscent of the earthquake lakes on the Karamea, and like the Karamea lakes, it too has a complex slip rapid at the end of it. The entrance drop has yet to be run, the rest adds up to class IV. Below that the river slowly eases.</p><p>To get to the PUT IN: drive 30 minutes south of Fox to the small town of Jacobs River. Fly from here by contacting the Sullivan"
"https://rivers.org.nz/nz/manawatu/makuri/makuri-gorge","Manawatu","Makuri","Makuri Gorge","IV+","4.25","","","","","",""
"https://rivers.org.nz/nz/manawatu/manawatu/manawatu-gorge","Manawatu","Manawatu","Manawatu Gorge","II","2","","","","","","<p>History re Manawatu esp. floods <a href=""http://www.teara.govt.nz/1966/M/ManawatuRiver/ManawatuRiver/en"" title=""http://www.teara.govt.nz/1966/M/ManawatuRiver/ManawatuRiver/en"">http://www.teara.govt.nz/1966/M/ManawatuRiver/ManawatuRiver/en</a></p>"
"https://rivers.org.nz/nz/manawatu/mangahao/mangahao-gorge","Manawatu","Mangahao","Mangahao Gorge","III-IV","3.5","18km","9m/km","4.5-8 hours","Mangahao Reservoir No.2","Mangahao Road bridge west of Hukanui","<p>If you want to catch up with long-lost paddling friends or look for an elusive paddling girlfriend or easily find a new boyfriend, just turn up at one of the spring or autumn Mangahao releases when the river becomes the busiest in the country. It's an excellent place for hearing the latest gossip, but removes any feeling of wilderness this run would have without all the people.</p><p>The Mangahao is dammed twice in the Tararua Ranges and its flow is diverted to Arapeti Stream, then west to Mangaore Stream. The Whitewater Park below the Mangahao Power Station makes use of this water, but use of the main Mangahao River is limited to when King Country Energy releases water twice a year by agreement, or when heavy rain forces them to spill water.</p><p>Having survived the very tight and winding road to the put-in, find a park and catch up with old friends. If you want you can even charter a helicopter from the take out thus avoiding the heinous shuttle. Escape to the river, which starts as a single channel in a deep bush-lined valley. A few kilometres down is the first gorge with a couple of rapids in the easy class IV range. The crux rapid in the first gorge is a series of drops through a narrow section culminating in a final rapid with some fun hydraulics. A large tree wedged at the bottom provides the objective danger in the rapid. There are some good play spots in this section, but you'll have to join the queue.</p><p>Once clear of this gorge there is a long stretch of relaxing and enjoyable class II-III water with fabulous scenery. A few harder class III+ rapids shake you out of your reverie, including boulder gardens requiring active manoeuvering to stay out of trouble. Two or three may make it to IV-, depending on the flow.</p><p>Gradually these rapids give way to easier water and the hills lay back into pastoral land. The river becomes shallow, braided class I and II. The take out arrives just as you decide you really didn't want a flat water training session for the day. Often there are stalls set up selling hot dogs, beer and other essential post-river delights. One of the trickiest parts of this run is ensuring your shuttle driver knows how to get from the put in to the take out.</p><p>To get to the put-in: go to the small town of Shannon on SH7 south of Palmerston North. Follow the signs to Mangahao Power Station. Drive past the station and Whitewater Park up the gravel road which climbs over a saddle. It descends slightly to Tokomaru No 3 Reservoir, skirts this and climbs again twisting and turning like a slippery eel. Eleven kilometres from the power station you arrive at Mangahao Reservoir No 2 and the put-in.</p><p>To get to the take-out: head back to Palmerston North on SH7. Find any signs which point to Aokautere or Pahiatua Track. Follow this windy road over the Tawarua Ranges. As the road flattens onto the lowlands near Makomako, look for a junction and right turn to Marima. Once at Marima follow signs to Kopikopiko via Kopikopiko Road. This road turns to gravel a couple of kilometres out of Marima and stays this way to the bridge. The take-out is in a paddock on the river left just upstream of the bridge. Good luck.</p>"
"https://rivers.org.nz/nz/manawatu/mangahao/mangahao-slalom-site","Manawatu","Mangahao","Mangahao Slalom Site","II-III+","2.6","0.5km","","90 seconds to full day.","directly below power station.","On river left by concrete block exit.  Don't miss the take out its a hassle find other good eddies.","National whitewater Slalom Site.  It has gates set up, toilets and flood lights for paddling in the dark!  But you need a access card from Bivouac in Palmy to use the toilets or lights.<br /><iframe width=""640"" height=""480"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""http://maps.google.co.nz/maps/ms?msa=0&msid=204198301398141134999.0004a95861563aaba6861&hl=en&ie=UTF8&t=h&ll=-40.575924,175.449729&spn=0.007823,0.013733&z=16&output=embed""></iframe><br /><small>View <a href=""http://maps.google.co.nz/maps/ms?msa=0&msid=204198301398141134999.0004a95861563aaba6861&hl=en&ie=UTF8&t=h&ll=-40.575924,175.449729&spn=0.007823,0.013733&z=16&source=embed"" style=""color:#0000FF;text-align:left"">Rivers</a> in a larger map</small>"
"https://rivers.org.nz/mangakahia_gorge","Northland","Mangakahia","Mangakahia Gorge","III+-IV-","3.6","8km","15m/km","2.5-4 hours","At bridge on the Kaikohe-Donnellys crossing road. G.ref 751","Where the river first meets the Waimatenui road at G.Ref 799 214","<p>This river has a small, steep catchment and is therefore quite flashy. While the Wairua is still flooding over its banks this little gem will have been up and returned to its normal flow. From the put-in the river is tends to be rather boney; if it isn't then the gorge section will be very interesting.<br />For the first 1.5 km the river contains boulder and gravel rapids with some 1 to 2 metre drops at the ends. Just as you're thinking to yourself, there is not enough water in this river, the banks close in, constricting the flow into a smaller bedrock channel for the next 2 km. This section contains the hardest rapids, becoming pool drop with a few longer class III rapids. It is quite confined in places but can be mostly boat scouted although a quick check down some of the longer shoots might improve safety and ease your nerves.</p><p>When the Waiokumurau stream comes in from the right you are through the hardest section. The gradient eases and the river widens again returning to the boulder  and gravel rapids but this time with greater volume. These rapids keep up the fun for the next 5.5 km down to the take out. When you leave your shuttle vehicle at the take-out take time to familiarise yourself with the surroundings as it might be easy to miss from the river.</p><p>To get to the put in: From Whangarei take SH14 to Mangatapere, here turn right towards Tetoki, follow this road through the village until you get to Twin Bridges. Here turn left just before the bridge and follow the road up the valley for a further 11 or 12 km. Leave a shuttle vehicle where the river leaves the road for the last time . Continue along this road until you get to a T junction at Waimatenui, turn right and follow it down hill to the bridge. Park at the bridge and get in on the down stream side on the left hand side of the left channel after a brief excursion through the bush.</p>"
"https://rivers.org.nz/nz/northland/mangakahia/middle-mangakahia","Northland","Mangakahia","Middle Mangakahia","II","2","12km","4m/km","","","","<p>RUS 1118</p>"
"https://rivers.org.nz/nz/bay-of-plenty/mangakarengorengo/ngamuwahine-bridge-to-mclaren-falls","Bay of Plenty","Mangakarengorengo","Ngamuwahine Bridge to McLaren Falls","III (V)","3.24","3km","","1-2 hours","Ngamuwhahine Bridge","Above McLaren Falls","<p>Mangakorengorengo has been a classic Bay of Plenty flood run for the locals. With a large catchment area, this gem does not need much rain to get flowing.  Make sure to catch the gauge before hand, low flows are not boat friendly thanks to the coarse bedrock.</p><p>From the Ngamuwhine bridge, it is a short paddle to the confluence to Mangakorengorengo (Make sure to use the turn-style/step the farmer kindly installed). The river splits into two channels: both are class III+, most people go river right to paddle of a super clean 3m waterfall.  Scoutable on river left.  Below the waterfall is about 100m of class III.</p><p>Shortly after the class III is some more grade III, watch out for a loud roar as you approach the Abyss (V). Most people stick river left to find an eddy, if not there are eddys on river right above the drop.  Scout river left and decide to run it or not.</p><p>Below the Abyss is some class II-III action for a kilometre, once you get to the flat section. <em>Watch out for fords</em>, <a href=""/safety/db/incident/20070722"">swimmers have gone under these before</a>. Not fun.</p><p>Immediately after the ford is a nice class III+ rapid, most people go river left and hard river right to avoid the hole at the bottom on river left. Scoutable on river right. After this is 300m of fun class III, where you will a steep rapid. Make sure to follow the deep water and stay up right. It can be quite shallow. From here, negotiate some more class II-III water till you see the McLarens falls Power Station. Paddle downstream as far as you dare, don"
